Responder,Age,Education,Income,Construction,Emergency,Sales,Service,Professional,Computers,PDA,Cell,PC,Away,Business.Week,PC.Magazine,Field...Stream,Mgourmet
1,22,3,51,0,0,0,0,0,1,0,1,1,3,1,0,0,0
2,57,2,65,0,0,1,0,0,0,0,0,1,3,0,0,0,0
3,44,2,52,0,0,1,0,0,0,1,0,1,4,0,0,0,0
4,46,3,75,0,0,0,0,0,1,0,1,1,5,0,0,1,0
5,62,2,63,0,0,1,0,0,0,1,1,1,5,0,0,0,0
6,25,2,66,0,0,0,1,0,0,0,1,1,6,0,0,0,0
7,45,3,51,0,0,1,0,0,0,0,1,1,2,1,0,0,0
8,56,2,51,0,0,1,0,0,0,1,1,1,3,0,1,0,0
9,41,2,87,0,0,0,0,0,1,1,1,1,7,0,0,0,0
10,41,2,87,0,0,0,0,0,1,1,1,1,7,0,0,0,0
11,48,3,44,0,0,0,0,1,0,1,1,1,4,0,0,0,0
12,63,2,53,0,0,0,1,0,0,0,1,1,3,0,1,0,0
13,40,2,74,0,0,1,0,0,0,0,1,1,5,1,0,0,0
14,48,2,62,0,0,1,0,0,0,0,1,1,6,0,0,0,0
15,48,3,44,0,0,0,0,1,0,1,1,1,4,0,0,0,0
16,63,2,53,0,0,0,1,0,0,0,1,1,3,0,1,0,0
17,51,2,21,0,0,0,1,0,0,1,1,1,6,0,0,0,0
18,52,2,67,0,0,1,0,0,0,1,1,1,6,0,0,0,0
19,63,2,94,0,0,1,0,0,0,1,1,1,6,1,1,0,0
20,25,2,66,0,0,0,1,0,0,0,1,1,6,0,0,0,0
21,22,3,51,0,0,0,0,0,1,0,1,1,3,1,0,0,0
22,21,2,31,0,0,0,1,0,0,0,0,1,5,0,1,0,0
23,44,2,52,0,0,1,0,0,0,1,0,1,4,0,0,0,0
24,45,2,90,0,0,1,0,0,0,1,1,1,4,0,0,0,0
25,45,2,90,0,0,1,0,0,0,1,1,1,4,0,0,0,0
26,41,2,87,0,0,0,0,0,1,1,1,1,7,0,0,0,0
27,22,2,56,0,0,0,1,0,0,0,1,1,7,0,0,0,0
28,30,2,67,0,0,1,0,0,0,0,0,1,6,0,0,0,0
29,40,2,74,0,0,1,0,0,0,0,1,1,5,1,0,0,0
30,40,2,74,0,0,1,0,0,0,0,1,1,5,1,0,0,0
31,44,2,52,0,0,1,0,0,0,1,0,1,4,0,0,0,0
32,54,2,26,0,0,1,0,0,0,1,1,1,1,1,0,0,0
33,31,3,71,0,0,1,0,0,0,0,1,1,3,0,0,0,0
34,63,2,94,0,0,1,0,0,0,1,1,1,6,1,1,0,0
35,22,3,51,0,0,0,0,0,1,0,1,1,3,1,0,0,0
36,29,4,66,0,0,1,0,0,0,0,1,1,4,0,0,0,0
37,56,2,51,0,0,1,0,0,0,1,1,1,3,0,1,0,0
38,51,2,21,0,0,0,1,0,0,1,1,1,6,0,0,0,0
39,63,2,53,0,0,0,1,0,0,0,1,1,3,0,1,0,0
40,52,2,67,0,0,1,0,0,0,1,1,1,6,0,0,0,0
41,62,2,63,0,0,1,0,0,0,1,1,1,5,0,0,0,0
42,28,2,46,0,0,1,0,0,0,0,1,1,5,0,0,0,0
43,29,4,66,0,0,1,0,0,0,0,1,1,4,0,0,0,0
44,22,2,56,0,0,0,1,0,0,0,1,1,7,0,0,0,0
45,48,2,62,0,0,1,0,0,0,0,1,1,6,0,0,0,0
46,45,2,90,0,0,1,0,0,0,1,1,1,4,0,0,0,0
47,52,3,41,0,0,0,0,0,1,0,1,1,5,0,0,0,0
48,29,4,66,0,0,1,0,0,0,0,1,1,4,0,0,0,0
49,40,2,74,0,0,1,0,0,0,0,1,1,5,1,0,0,0
50,58,3,48,0,0,1,0,0,0,1,0,1,5,0,0,0,0
51,62,2,63,0,0,1,0,0,0,1,1,1,5,0,0,0,0
52,57,2,65,0,0,1,0,0,0,0,0,1,3,0,0,0,0
53,25,2,66,0,0,0,1,0,0,0,1,1,6,0,0,0,0
54,45,2,90,0,0,1,0,0,0,1,1,1,4,0,0,0,0
55,45,2,90,0,0,1,0,0,0,1,1,1,4,0,0,0,0
56,51,2,21,0,0,0,1,0,0,1,1,1,6,0,0,0,0
57,57,2,65,0,0,1,0,0,0,0,0,1,3,0,0,0,0
58,45,2,90,0,0,1,0,0,0,1,1,1,4,0,0,0,0
59,62,2,63,0,0,1,0,0,0,1,1,1,5,0,0,0,0
60,22,2,56,0,0,0,1,0,0,0,1,1,7,0,0,0,0
61,45,2,90,0,0,1,0,0,0,1,1,1,4,0,0,0,0
62,46,3,75,0,0,0,0,0,1,0,1,1,5,0,0,1,0
63,29,4,66,0,0,1,0,0,0,0,1,1,4,0,0,0,0
64,35,2,54,0,0,0,0,1,0,1,1,1,5,1,0,1,0
65,51,2,21,0,0,0,1,0,0,1,1,1,6,0,0,0,0
66,45,2,90,0,0,1,0,0,0,1,1,1,4,0,0,0,0
67,29,4,66,0,0,1,0,0,0,0,1,1,4,0,0,0,0
68,54,2,26,0,0,1,0,0,0,1,1,1,1,1,0,0,0
69,25,2,61,0,1,0,0,0,0,1,1,1,3,0,1,1,0
70,63,2,94,0,0,1,0,0,0,1,1,1,6,1,1,0,0
71,48,2,62,0,0,1,0,0,0,0,1,1,6,0,0,0,0
72,48,3,86,0,0,1,0,0,0,0,1,1,5,0,0,0,0
73,62,2,63,0,0,1,0,0,0,1,1,1,5,0,0,0,0
74,44,2,52,0,0,1,0,0,0,1,0,1,4,0,0,0,0
75,48,3,86,0,0,1,0,0,0,0,1,1,5,0,0,0,0
76,40,2,74,0,0,1,0,0,0,0,1,1,5,1,0,0,0
77,21,2,31,0,0,0,1,0,0,0,0,1,5,0,1,0,0
78,45,3,51,0,0,1,0,0,0,0,1,1,2,1,0,0,0
79,63,2,53,0,0,0,1,0,0,0,1,1,3,0,1,0,0
80,29,4,66,0,0,1,0,0,0,0,1,1,4,0,0,0,0
81,48,2,62,0,0,1,0,0,0,0,1,1,6,0,0,0,0
82,57,2,65,0,0,1,0,0,0,0,0,1,3,0,0,0,0
83,62,2,63,0,0,1,0,0,0,1,1,1,5,0,0,0,0
84,48,3,44,0,0,0,0,1,0,1,1,1,4,0,0,0,0
85,57,2,65,0,0,1,0,0,0,0,0,1,3,0,0,0,0
86,45,2,90,0,0,1,0,0,0,1,1,1,4,0,0,0,0
87,22,2,56,0,0,0,1,0,0,0,1,1,7,0,0,0,0
88,51,2,21,0,0,0,1,0,0,1,1,1,6,0,0,0,0
89,54,2,57,0,0,0,1,0,0,1,1,1,4,0,1,0,0
90,48,2,62,0,0,1,0,0,0,0,1,1,6,0,0,0,0
91,22,3,51,0,0,0,0,0,1,0,1,1,3,1,0,0,0
92,54,2,57,0,0,0,1,0,0,1,1,1,4,0,1,0,0
93,41,2,87,0,0,0,0,0,1,1,1,1,7,0,0,0,0
94,47,3,56,0,0,1,0,0,0,0,1,1,6,0,0,0,0
95,29,4,66,0,0,1,0,0,0,0,1,1,4,0,0,0,0
96,63,2,52,0,0,0,0,1,0,0,1,1,6,0,0,0,0
97,45,2,90,0,0,1,0,0,0,1,1,1,4,0,0,0,0
98,25,2,61,0,1,0,0,0,0,1,1,1,3,0,1,1,0
99,52,3,41,0,0,0,0,0,1,0,1,1,5,0,0,0,0
100,29,4,66,0,0,1,0,0,0,0,1,1,4,0,0,0,0
101,54,2,26,0,0,1,0,0,0,1,1,1,1,1,0,0,0
102,63,2,52,0,0,0,0,1,0,0,1,1,6,0,0,0,0
103,31,3,71,0,0,1,0,0,0,0,1,1,3,0,0,0,0
104,45,2,90,0,0,1,0,0,0,1,1,1,4,0,0,0,0
105,52,2,67,0,0,1,0,0,0,1,1,1,6,0,0,0,0
106,56,2,51,0,0,1,0,0,0,1,1,1,3,0,1,0,0
107,64,3,48,1,0,0,0,0,0,1,1,1,5,0,0,0,0
108,31,3,71,0,0,1,0,0,0,0,1,1,3,0,0,0,0
109,62,2,63,0,0,1,0,0,0,1,1,1,5,0,0,0,0
110,28,2,46,0,0,1,0,0,0,0,1,1,5,0,0,0,0
111,41,2,73,0,0,0,0,0,1,1,1,1,5,0,0,1,0
112,48,3,86,0,0,1,0,0,0,0,1,1,5,0,0,0,0
113,62,2,63,0,0,1,0,0,0,1,1,1,5,0,0,0,0
114,48,2,62,0,0,1,0,0,0,0,1,1,6,0,0,0,0
115,40,2,74,0,0,1,0,0,0,0,1,1,5,1,0,0,0
116,63,2,94,0,0,1,0,0,0,1,1,1,6,1,1,0,0
117,63,2,52,0,0,0,0,1,0,0,1,1,6,0,0,0,0
118,59,2,83,0,0,1,0,0,0,1,1,1,4,0,1,0,0
119,62,2,63,0,0,1,0,0,0,1,1,1,5,0,0,0,0
120,52,3,41,0,0,0,0,0,1,0,1,1,5,0,0,0,0
121,40,2,74,0,0,1,0,0,0,0,1,1,5,1,0,0,0
122,41,2,87,0,0,0,0,0,1,1,1,1,7,0,0,0,0
123,52,3,41,0,0,0,0,0,1,0,1,1,5,0,0,0,0
124,41,2,87,0,0,0,0,0,1,1,1,1,7,0,0,0,0
125,29,4,66,0,0,1,0,0,0,0,1,1,4,0,0,0,0
126,45,2,90,0,0,1,0,0,0,1,1,1,4,0,0,0,0
127,51,2,81,0,0,1,0,0,0,0,1,1,5,0,0,0,0
128,43,3,47,0,0,0,1,0,0,0,1,1,4,0,1,0,0
129,51,3,43,0,0,0,0,0,1,1,1,1,2,0,1,0,0
130,48,2,62,0,0,1,0,0,0,0,1,1,6,0,0,0,0
131,25,2,61,0,1,0,0,0,0,1,1,1,3,0,1,1,0
132,45,2,90,0,0,1,0,0,0,1,1,1,4,0,0,0,0
133,28,2,46,0,0,1,0,0,0,0,1,1,5,0,0,0,0
134,59,2,83,0,0,1,0,0,0,1,1,1,4,0,1,0,0
135,40,2,74,0,0,1,0,0,0,0,1,1,5,1,0,0,0
136,28,2,46,0,0,1,0,0,0,0,1,1,5,0,0,0,0
137,29,4,66,0,0,1,0,0,0,0,1,1,4,0,0,0,0
138,57,2,65,0,0,1,0,0,0,0,0,1,3,0,0,0,0
139,57,2,65,0,0,1,0,0,0,0,0,1,3,0,0,0,0
140,51,2,81,0,0,1,0,0,0,0,1,1,5,0,0,0,0
141,44,3,40,0,0,1,0,0,0,0,1,1,1,1,0,0,0
142,62,2,63,0,0,1,0,0,0,1,1,1,5,0,0,0,0
143,52,3,41,0,0,0,0,0,1,0,1,1,5,0,0,0,0
144,52,2,67,0,0,1,0,0,0,1,1,1,6,0,0,0,0
145,62,2,63,0,0,1,0,0,0,1,1,1,5,0,0,0,0
146,57,2,65,0,0,1,0,0,0,0,0,1,3,0,0,0,0
147,51,3,43,0,0,0,0,0,1,1,1,1,2,0,1,0,0
148,41,2,73,0,0,0,0,0,1,1,1,1,5,0,0,1,0
149,62,2,63,0,0,1,0,0,0,1,1,1,5,0,0,0,0
150,45,2,90,0,0,1,0,0,0,1,1,1,4,0,0,0,0
151,44,2,52,0,0,1,0,0,0,1,0,1,4,0,0,0,0
152,28,2,46,0,0,1,0,0,0,0,1,1,5,0,0,0,0
153,31,3,71,0,0,1,0,0,0,0,1,1,3,0,0,0,0
154,22,3,51,0,0,0,0,0,1,0,1,1,3,1,0,0,0
155,25,2,61,0,1,0,0,0,0,1,1,1,3,0,1,1,0
156,44,2,52,0,0,1,0,0,0,1,0,1,4,0,0,0,0
157,41,2,87,0,0,0,0,0,1,1,1,1,7,0,0,0,0
158,45,2,90,0,0,1,0,0,0,1,1,1,4,0,0,0,0
159,52,2,67,0,0,1,0,0,0,1,1,1,6,0,0,0,0
160,54,2,57,0,0,0,1,0,0,1,1,1,4,0,1,0,0
161,62,2,63,0,0,1,0,0,0,1,1,1,5,0,0,0,0
162,45,3,51,0,0,1,0,0,0,0,1,1,2,1,0,0,0
163,64,3,48,1,0,0,0,0,0,1,1,1,5,0,0,0,0
164,48,3,44,0,0,0,0,1,0,1,1,1,4,0,0,0,0
165,62,2,63,0,0,1,0,0,0,1,1,1,5,0,0,0,0
166,63,2,94,0,0,1,0,0,0,1,1,1,6,1,1,0,0
167,48,2,62,0,0,1,0,0,0,0,1,1,6,0,0,0,0
168,25,2,61,0,1,0,0,0,0,1,1,1,3,0,1,1,0
169,29,4,66,0,0,1,0,0,0,0,1,1,4,0,0,0,0
170,41,2,87,0,0,0,0,0,1,1,1,1,7,0,0,0,0
171,45,3,51,0,0,1,0,0,0,0,1,1,2,1,0,0,0
172,35,2,54,0,0,0,0,1,0,1,1,1,5,1,0,1,0
173,51,3,43,0,0,0,0,0,1,1,1,1,2,0,1,0,0
174,57,2,65,0,0,1,0,0,0,0,0,1,3,0,0,0,0
175,64,3,48,1,0,0,0,0,0,1,1,1,5,0,0,0,0
176,27,3,62,0,0,1,0,0,0,0,1,1,5,0,1,0,0
177,40,2,74,0,0,1,0,0,0,0,1,1,5,1,0,0,0
178,27,3,62,0,0,1,0,0,0,0,1,1,5,0,1,0,0
179,25,2,66,0,0,0,1,0,0,0,1,1,6,0,0,0,0
180,31,1,75,1,0,0,0,0,0,0,1,1,4,1,0,0,0
181,40,2,74,0,0,1,0,0,0,0,1,1,5,1,0,0,0
182,62,2,63,0,0,1,0,0,0,1,1,1,5,0,0,0,0
183,31,1,75,1,0,0,0,0,0,0,1,1,4,1,0,0,0
184,41,2,73,0,0,0,0,0,1,1,1,1,5,0,0,1,0
185,51,2,21,0,0,0,1,0,0,1,1,1,6,0,0,0,0
186,45,2,90,0,0,1,0,0,0,1,1,1,4,0,0,0,0
187,63,2,52,0,0,0,0,1,0,0,1,1,6,0,0,0,0
188,43,3,47,0,0,0,1,0,0,0,1,1,4,0,1,0,0
189,47,3,56,0,0,1,0,0,0,0,1,1,6,0,0,0,0
190,40,2,74,0,0,1,0,0,0,0,1,1,5,1,0,0,0
191,63,2,53,0,0,0,1,0,0,0,1,1,3,0,1,0,0
192,31,3,71,0,0,1,0,0,0,0,1,1,3,0,0,0,0
193,43,3,47,0,0,0,1,0,0,0,1,1,4,0,1,0,0
194,57,2,65,0,0,1,0,0,0,0,0,1,3,0,0,0,0
195,48,2,60,0,0,1,0,0,0,0,1,1,5,0,0,0,0
196,64,3,48,1,0,0,0,0,0,1,1,1,5,0,0,0,0
197,56,2,51,0,0,1,0,0,0,1,1,1,3,0,1,0,0
198,45,2,90,0,0,1,0,0,0,1,1,1,4,0,0,0,0
199,45,2,90,0,0,1,0,0,0,1,1,1,4,0,0,0,0
200,62,2,63,0,0,1,0,0,0,1,1,1,5,0,0,0,0
201,27,3,62,0,0,1,0,0,0,0,1,1,5,0,1,0,0
202,25,2,66,0,0,0,1,0,0,0,1,1,6,0,0,0,0
203,25,2,66,0,0,0,1,0,0,0,1,1,6,0,0,0,0
204,22,2,56,0,0,0,1,0,0,0,1,1,7,0,0,0,0
205,63,2,94,0,0,1,0,0,0,1,1,1,6,1,1,0,0
206,52,3,41,0,0,0,0,0,1,0,1,1,5,0,0,0,0
207,54,2,57,0,0,0,1,0,0,1,1,1,4,0,1,0,0
208,52,3,41,0,0,0,0,0,1,0,1,1,5,0,0,0,0
209,59,2,83,0,0,1,0,0,0,1,1,1,4,0,1,0,0
210,25,2,66,0,0,0,1,0,0,0,1,1,6,0,0,0,0
211,48,3,86,0,0,1,0,0,0,0,1,1,5,0,0,0,0
212,63,2,52,0,0,0,0,1,0,0,1,1,6,0,0,0,0
213,52,2,67,0,0,1,0,0,0,1,1,1,6,0,0,0,0
214,22,3,51,0,0,0,0,0,1,0,1,1,3,1,0,0,0
215,22,2,56,0,0,0,1,0,0,0,1,1,7,0,0,0,0
216,51,2,81,0,0,1,0,0,0,0,1,1,5,0,0,0,0
217,63,2,94,0,0,1,0,0,0,1,1,1,6,1,1,0,0
218,22,2,56,0,0,0,1,0,0,0,1,1,7,0,0,0,0
219,62,2,63,0,0,1,0,0,0,1,1,1,5,0,0,0,0
220,62,2,63,0,0,1,0,0,0,1,1,1,5,0,0,0,0
221,22,2,56,0,0,0,1,0,0,0,1,1,7,0,0,0,0
222,62,2,63,0,0,1,0,0,0,1,1,1,5,0,0,0,0
223,59,2,83,0,0,1,0,0,0,1,1,1,4,0,1,0,0
224,51,2,21,0,0,0,1,0,0,1,1,1,6,0,0,0,0
225,45,2,90,0,0,1,0,0,0,1,1,1,4,0,0,0,0
226,45,3,51,0,0,1,0,0,0,0,1,1,2,1,0,0,0
227,56,2,51,0,0,1,0,0,0,1,1,1,3,0,1,0,0
228,40,2,74,0,0,1,0,0,0,0,1,1,5,1,0,0,0
229,45,2,90,0,0,1,0,0,0,1,1,1,4,0,0,0,0
230,52,3,41,0,0,0,0,0,1,0,1,1,5,0,0,0,0
231,63,2,94,0,0,1,0,0,0,1,1,1,6,1,1,0,0
232,51,3,43,0,0,0,0,0,1,1,1,1,2,0,1,0,0
233,48,3,44,0,0,0,0,1,0,1,1,1,4,0,0,0,0
234,57,2,65,0,0,1,0,0,0,0,0,1,3,0,0,0,0
235,47,3,56,0,0,1,0,0,0,0,1,1,6,0,0,0,0
236,28,2,46,0,0,1,0,0,0,0,1,1,5,0,0,0,0
237,63,2,94,0,0,1,0,0,0,1,1,1,6,1,1,0,0
238,19,3,32,0,0,0,0,0,1,0,0,1,7,0,0,0,0
239,47,3,56,0,0,1,0,0,0,0,1,1,6,0,0,0,0
240,45,2,90,0,0,1,0,0,0,1,1,1,4,0,0,0,0
241,22,1,60,0,0,0,1,0,0,0,1,1,5,1,1,0,0
242,40,2,74,0,0,1,0,0,0,0,1,1,5,1,0,0,0
243,25,2,61,0,1,0,0,0,0,1,1,1,3,0,1,1,0
244,57,2,65,0,0,1,0,0,0,0,0,1,3,0,0,0,0
245,45,2,90,0,0,1,0,0,0,1,1,1,4,0,0,0,0
246,62,2,63,0,0,1,0,0,0,1,1,1,5,0,0,0,0
247,31,1,75,1,0,0,0,0,0,0,1,1,4,1,0,0,0
248,62,2,63,0,0,1,0,0,0,1,1,1,5,0,0,0,0
249,54,2,57,0,0,0,1,0,0,1,1,1,4,0,1,0,0
250,41,2,73,0,0,0,0,0,1,1,1,1,5,0,0,1,0
